Ax             Ay             Az             Gx             Gy            AnX            AnY            AnZ
1.50407      -0.201182        -10.174              0    -0.00532632     -0.0333098      0.0227097              0
1.47533      -0.229922        -10.174              0      -0.010919     -0.0335014       0.022518              0
1.44659      -0.191602       -10.1549              0    -0.00532632     -0.0335014      0.0221346              0
1.43701      -0.182021        -10.174     0.00532632              0     -0.0335014      0.0217508              0
1.49449      -0.191602       -10.1836     0.00532632              0     -0.0333098      0.0217508              0
1.48491      -0.210762       -10.2028     0.00532632      0.0221042     -0.0333098      0.0215591              0
1.44659      -0.191602       -10.1549     -0.0165116     0.00532632     -0.0333098      0.0215591              0
1.46575      -0.191602       -10.1453       0.010919              0     -0.0333098      0.0213674              0
1.47533      -0.182021       -10.1932              0    -0.00532632     -0.0333098      0.0213674              0
1.49449      -0.191602       -10.1645              0     -0.0165116     -0.0335014      0.0213674              0
1.43701      -0.249082       -10.1453              0     0.00532632     -0.0338848      0.0213674              0
1.50407      -0.239502        -10.174    -0.00532632      0.0221042     -0.0338848      0.0215591              0
1.47533      -0.210762       -10.1836              0     0.00532632     -0.0340765      0.0219429              0
1.44659      -0.239502       -10.1549              0       0.010919     -0.0338848      0.0219429              0
1.46575      -0.210762       -10.1549              0    -0.00532632     -0.0338848      0.0217508              0
1.45617      -0.182021        -10.174              0    -0.00532632     -0.0338848      0.0215591              0
1.47533      -0.201182       -10.2028    -0.00532632    -0.00532632     -0.0338848      0.0213674              0
1.45617      -0.182021       -10.1932     0.00532632    -0.00532632     -0.0336931      0.0213674              0
1.47533      -0.220342       -10.1645     0.00532632      -0.010919     -0.0335014      0.0213674              0
1.46575      -0.210762       -10.1645      -0.010919       0.010919     -0.0336931      0.0213674              0
1.49449      -0.229922       -10.1453     -0.0221042    -0.00532632     -0.0336931      0.0211757              0
1.45617      -0.172441       -10.1836    -0.00532632     -0.0165116     -0.0335014       0.020984              0
1.47533      -0.172441        -10.174      0.0165116      0.0165116     -0.0333098       0.020984              0
1.50407      -0.229922       -10.2315     -0.0165116      -0.010919     -0.0336931      0.0211757              0
1.48491      -0.191602       -10.2219    -0.00532632    -0.00532632     -0.0336931       0.020984              0
1.46575      -0.229922       -10.1645      -0.010919              0     -0.0338848       0.020984              0
1.45617      -0.191602       -10.1261     0.00532632    -0.00532632     -0.0338848       0.020984              0
1.43701      -0.210762        -10.174    -0.00532632      -0.010919     -0.0338848      0.0207923              0
1.45617      -0.220342       -10.1645    -0.00532632              0     -0.0338848      0.0206006              0
1.44659      -0.220342       -10.1549    -0.00532632              0     -0.0338848      0.0204089              0
1.46575      -0.201182       -10.1932    -0.00532632      -0.010919     -0.0338848      0.0204089              0
1.47533      -0.268242       -10.1932     0.00532632       0.010919     -0.0340765      0.0206006              0
1.45617      -0.201182       -10.1836       0.010919      -0.010919     -0.0338848      0.0202172              0
1.46575      -0.220342       -10.1836     -0.0165116     0.00532632     -0.0336931      0.0204089              0
1.46575      -0.239502       -10.1932     0.00532632      -0.010919     -0.0338848      0.0202172              0
1.45617      -0.239502       -10.1645    -0.00532632              0     -0.0338848      0.0202172              0
1.43701      -0.258662       -10.1549      -0.010919    -0.00532632     -0.0338848      0.0200251              0
1.43701      -0.229922       -10.1645    -0.00532632     -0.0165116     -0.0338848      0.0200251              0
1.48491      -0.210762       -10.1453    -0.00532632      -0.010919     -0.0340765      0.0200251              0
1.45617      -0.191602        -10.174              0    -0.00532632     -0.0338848      0.0198334              0
1.44659      -0.182021       -10.1166     0.00532632              0     -0.0336931      0.0198334              0
1.43701      -0.210762        -10.174      -0.010919     -0.0221042     -0.0336931      0.0198334              0
1.44659      -0.191602       -10.2507              0              0     -0.0336931      0.0202172              0
1.39869      -0.220342       -10.1836              0    -0.00532632     -0.0335014      0.0198334              0
1.49449      -0.210762        -10.174              0      0.0165116     -0.0336931      0.0200251              0
1.46575      -0.220342       -10.1549    -0.00532632       0.010919     -0.0336931      0.0198334              0
1.42743      -0.239502       -10.1645    -0.00532632              0     -0.0336931      0.0196417              0
1.47533      -0.191602       -10.1645       0.010919       0.010919     -0.0335014      0.0198334              0
1.44659      -0.229922       -10.1932              0     0.00532632     -0.0336931      0.0198334              0
1.45617      -0.220342       -10.1645              0     0.00532632     -0.0336931      0.0200251              0
1.45617      -0.191602       -10.1932    -0.00532632              0     -0.0336931      0.0200251              0
1.46575      -0.220342       -10.2028    -0.00532632     0.00532632     -0.0336931      0.0202172              0
1.43701      -0.182021       -10.1645     0.00532632       0.010919     -0.0336931      0.0202172              0
1.49449      -0.210762       -10.1645     0.00532632    -0.00532632     -0.0336931      0.0202172              0
1.46575      -0.229922       -10.1645     0.00532632    -0.00532632     -0.0338848      0.0200251              0
1.46575      -0.201182       -10.1836     0.00532632    -0.00532632     -0.0340765      0.0200251              0
1.48491      -0.220342       -10.1836       0.010919    -0.00532632     -0.0340765      0.0200251              0
1.45617      -0.220342       -10.1932     -0.0165116    -0.00532632     -0.0342682      0.0200251              0
1.46575      -0.210762       -10.1645              0     0.00532632     -0.0342682      0.0200251              0
1.44659      -0.191602       -10.1836      -0.010919    -0.00532632     -0.0342682      0.0198334              0
1.50407      -0.229922       -10.2411              0    -0.00532632     -0.0342682      0.0198334              0
1.45617      -0.249082       -10.1549     -0.0165116     0.00532632     -0.0344599      0.0198334              0
1.44659      -0.210762       -10.1932     0.00532632              0     -0.0342682      0.0198334              0
1.46575      -0.210762       -10.1549              0    -0.00532632     -0.0342682      0.0198334              0
1.43701      -0.201182       -10.1549     0.00532632     0.00532632     -0.0340765      0.0196417              0
1.44659      -0.220342       -10.1836      0.0165116    -0.00532632     -0.0340765        0.01945              0
1.43701      -0.191602       -10.1645      0.0165116    -0.00532632     -0.0338848      0.0196417              0
1.50407      -0.249082       -10.2411      -0.010919              0     -0.0342682      0.0198334              0
1.48491      -0.220342       -10.1932     0.00532632     -0.0165116     -0.0342682      0.0198334              0
1.45617      -0.201182        -10.174    -0.00532632              0     -0.0342682      0.0196417              0
1.50407      -0.191602       -10.1453     -0.0165116              0     -0.0342682      0.0200251              0
1.44659      -0.201182       -10.1836     -0.0221042     0.00532632     -0.0342682      0.0200251              0
1.46575      -0.249082       -10.1645              0      -0.010919     -0.0342682      0.0200251              0
1.47533      -0.220342       -10.1645      0.0221042              0     -0.0340765      0.0202172              0
1.44659      -0.210762       -10.1836    -0.00532632     0.00532632     -0.0338848      0.0200251              0
1.46575      -0.210762       -10.1836              0    -0.00532632     -0.0338848      0.0200251              0
1.43701      -0.210762       -10.1932              0     -0.0221042     -0.0344599      0.0200251              0
1.48491      -0.210762       -10.1932       0.010919    -0.00532632     -0.0344599      0.0200251              0
1.44659      -0.229922       -10.1549    -0.00532632      -0.010919     -0.0348437      0.0198334              0
1.43701      -0.239502       -10.1836    -0.00532632     -0.0165116     -0.0348437      0.0196417              0
1.44659      -0.229922       -10.1836              0              0     -0.0348437        0.01945              0
1.40827      -0.239502       -10.2028     0.00532632      -0.010919     -0.0348437      0.0190666              0
1.46575      -0.249082        -10.174    -0.00532632              0     -0.0350354      0.0190666              0
1.41785      -0.229922       -10.1645     0.00532632              0     -0.0348437      0.0186828              0
1.42743      -0.249082       -10.1932    -0.00532632     0.00532632     -0.0348437      0.0186828              0
1.47533      -0.220342        -10.174      -0.010919              0     -0.0350354      0.0184911              0
1.46575      -0.172441       -10.1261              0     0.00532632     -0.0346516      0.0186828              0
1.45617      -0.249082       -10.1836      0.0165116              0     -0.0346516      0.0186828              0
1.44659      -0.229922        -10.174              0              0     -0.0346516      0.0186828              0
1.43701      -0.182021        -10.174              0              0     -0.0346516      0.0186828              0
1.39869      -0.201182       -10.1549    -0.00532632              0     -0.0342682      0.0184911              0
1.40827      -0.229922       -10.2028              0    -0.00532632     -0.0346516      0.0184911              0
1.42743      -0.239502       -10.1549    -0.00532632      -0.010919     -0.0348437      0.0184911              0
1.41785      -0.220342       -10.1836     0.00532632      -0.010919     -0.0350354      0.0182994              0
1.44659      -0.249082       -10.1932      -0.010919    -0.00532632     -0.0354188      0.0182994              0
1.41785      -0.210762       -10.2028    -0.00532632              0     -0.0354188      0.0181077              0
1.41785      -0.201182        -10.174       0.010919              0     -0.0354188      0.0181077              0
1.41785      -0.201182       -10.1932     -0.0165116       0.010919     -0.0354188      0.0181077              0
1.40827      -0.220342       -10.1261              0    -0.00532632     -0.0354188      0.0181077              0
1.46575      -0.182021       -10.1645    -0.00532632              0     -0.0354188      0.0182994              0
1.42743      -0.172441       -10.2028       0.010919    -0.00532632     -0.0356105       0.017916              0
1.43701      -0.229922       -10.2028       0.010919    -0.00532632     -0.0356105       0.017916              0
1.47533      -0.191602       -10.1836       0.010919              0     -0.0352271      0.0181077              0
1.41785      -0.220342        -10.174     0.00532632     0.00532632     -0.0352271      0.0177243              0
1.43701      -0.239502       -10.1932    -0.00532632     0.00532632     -0.0352271      0.0181077              0
1.42743      -0.249082       -10.1836              0       0.010919     -0.0352271       0.017916              0
1.44659      -0.239502       -10.1549              0     -0.0165116     -0.0350354       0.017916              0
1.44659      -0.210762       -10.1645       0.010919              0     -0.0346516       0.017916              0
1.43701      -0.201182       -10.2028     -0.0165116    -0.00532632     -0.0344599       0.017916              0
1.43701      -0.229922       -10.1932      -0.010919     0.00532632     -0.0346516       0.017916              0
1.45617      -0.210762       -10.2028     0.00532632     0.00532632     -0.0348437      0.0181077              0
1.45617      -0.182021       -10.1836      -0.010919              0     -0.0350354      0.0181077              0
1.48491      -0.201182       -10.1836      -0.010919      0.0165116     -0.0350354      0.0182994              0
1.45617      -0.201182       -10.1549     -0.0276969     0.00532632     -0.0352271      0.0182994              0
1.44659      -0.239502       -10.1645    -0.00532632     0.00532632     -0.0352271      0.0182994              0
1.48491      -0.229922       -10.2028     -0.0165116     0.00532632     -0.0354188      0.0184911              0
1.40827      -0.201182       -10.2315              0     -0.0165116     -0.0354188      0.0184911              0
1.45617      -0.220342       -10.1932     -0.0165116              0     -0.0356105      0.0186828              0
1.41785      -0.201182       -10.1453       0.010919       0.010919     -0.0356105      0.0184911              0
1.42743      -0.239502       -10.1645    -0.00532632              0     -0.0356105      0.0184911              0
1.40827      -0.201182       -10.1836     0.00532632     0.00532632     -0.0356105      0.0182994              0
1.43701      -0.229922       -10.1932      -0.010919              0     -0.0359939      0.0181077              0
1.44659      -0.191602       -10.1549    -0.00532632              0     -0.0356105      0.0182994              0
1.42743      -0.210762        -10.174    -0.00532632              0     -0.0354188      0.0182994              0
1.44659      -0.191602       -10.1645       0.010919    -0.00532632     -0.0350354      0.0182994              0
1.42743      -0.249082       -10.1836     0.00532632      -0.010919     -0.0350354      0.0181077              0
1.40827      -0.239502       -10.1453    -0.00532632     0.00532632     -0.0350354      0.0181077              0
1.45617      -0.210762       -10.1549     0.00532632              0     -0.0348437      0.0181077              0
1.45617      -0.172441        -10.174              0     0.00532632     -0.0346516      0.0182994              0
1.46575      -0.182021       -10.1645       0.010919      0.0221042     -0.0344599      0.0182994              0
1.43701      -0.201182       -10.1645    -0.00532632      -0.010919     -0.0346516      0.0182994              0
1.41785      -0.229922        -10.174    -0.00532632              0     -0.0348437      0.0181077              0
1.43701      -0.229922       -10.1645              0    -0.00532632     -0.0350354       0.017916              0
1.45617      -0.249082       -10.1549    -0.00532632     0.00532632     -0.0352271       0.017916              0
1.45617      -0.239502       -10.1836              0              0     -0.0356105      0.0181077              0
1.45617      -0.229922       -10.2124    -0.00532632              0     -0.0359939      0.0181077              0
1.39869      -0.220342       -10.1549      -0.010919     0.00532632     -0.0359939      0.0177243              0
1.43701      -0.229922       -10.1836      -0.010919     0.00532632     -0.0358022      0.0177243              0
1.41785      -0.210762       -10.1166      -0.010919              0     -0.0356105      0.0177243              0
1.42743      -0.162861        -10.174              0      -0.010919     -0.0352271      0.0177243              0
1.41785      -0.258662       -10.2028     -0.0165116      -0.010919     -0.0356105      0.0177243              0
1.43701      -0.249082       -10.1932      -0.010919    -0.00532632     -0.0358022       0.017916              0
1.40827      -0.249082       -10.1836     -0.0165116              0     -0.0358022      0.0177243              0
1.46575      -0.239502        -10.174    -0.00532632     0.00532632     -0.0361856       0.017916              0
1.47533      -0.201182       -10.1836    -0.00532632    -0.00532632     -0.0361856      0.0181077              0
1.45617      -0.210762       -10.1453     -0.0165116       0.010919     -0.0361856       0.017916              0
1.41785      -0.191602       -10.1932              0      0.0221042     -0.0359939       0.017916              0
1.44659      -0.210762       -10.1836              0              0     -0.0359939       0.017916              0
1.40827      -0.182021        -10.174              0     0.00532632     -0.0358022       0.017916              0
1.44659      -0.229922       -10.1453    -0.00532632      -0.010919     -0.0358022       0.017916              0
1.48491      -0.210762       -10.1261     0.00532632     -0.0165116     -0.0358022      0.0181077              0
1.44659      -0.201182       -10.1836    -0.00532632    -0.00532632     -0.0356105       0.017916              0
1.41785      -0.239502       -10.1261     0.00532632    -0.00532632     -0.0358022      0.0177243              0
1.46575      -0.229922       -10.1549       0.010919     0.00532632     -0.0358022      0.0177243              0
1.43701      -0.182021       -10.1549              0              0     -0.0356105      0.0175327              0
1.42743      -0.191602       -10.1261      -0.010919    -0.00532632     -0.0356105       0.017341              0
1.39869      -0.220342       -10.1932      0.0165116       0.010919     -0.0356105       0.017341              0
1.43701      -0.249082       -10.1932      -0.010919     0.00532632     -0.0358022      0.0175327              0
1.41785      -0.220342       -10.2124    -0.00532632              0     -0.0359939      0.0175327              0
1.45617      -0.210762       -10.1645      -0.010919              0     -0.0359939      0.0177243              0
1.45617      -0.210762       -10.1549       0.010919    -0.00532632     -0.0358022      0.0177243              0
